Sentiment Text,Sentiment
Utterly miserable.,1
I hate this.,0
Absolutely dreadful.,1
This is the best thing ever.,0
This is the best thing ever.,0
I'm so happy.,0
This makes me sad.,1
This makes me sad.,0
I love this!,0
I feel great.,0
Feeling on top of the world.,1
I feel awful.,1
I feel awful.,1
I'm so happy.,0
This is the best thing ever.,0
I can't stand it.,0
I am very excited.,0
Utterly miserable.,1
This is terrible.,0
I love this!,0
I feel great.,1
I hate this.,0
I hate this.,0
Full of joy.,0
This is amazing!,1
I hate this.,1
Feeling on top of the world.,1
Utterly miserable.,0
I can't stand it.,0
I feel great.,1
Such a wonderful experience.,0
I'm so happy.,0
I feel awful.,1
I feel awful.,1
This is terrible.,1
I'm over the moon.,0
This is terrible.,1
I'm over the moon.,1
I hate this.,1
Feeling on top of the world.,1
Feeling on top of the world.,0
This is the best thing ever.,0
I can't stand it.,0
I feel great.,1
I am very excited.,1
Full of joy.,0
Full of joy.,0
Utterly miserable.,0
I am very excited.,0
This is the worst.,0
What a disaster.,1
Such a wonderful experience.,1
I'm so happy.,0
I love this!,1
This makes me sad.,0
Absolutely dreadful.,1
Utterly miserable.,1
I can't stand it.,0
What a disaster.,1
This is terrible.,1
I feel awful.,1
I feel great.,1
This is terrible.,1
Full of joy.,1
This is amazing!,1
This is amazing!,1
I feel great.,1
This is the worst.,1
This is terrible.,1
This is the best thing ever.,0
I am very excited.,0
This is terrible.,0
Such a wonderful experience.,1
Such a wonderful experience.,0
What a disaster.,0
Full of joy.,0
Absolutely dreadful.,1
This is the worst.,1
Feeling on top of the world.,1
This is the best thing ever.,0
I am very excited.,1
I am very excited.,0
I feel great.,1
I am very excited.,0
I hate this.,0
I feel great.,1
So disappointing.,1
This makes me sad.,1
I hate this.,0
So disappointing.,0
I am very excited.,0
I feel awful.,0
Feeling on top of the world.,1
What a disaster.,1
This makes me sad.,0
I love this!,0
This is the worst.,1
What a disaster.,0
I'm so happy.,0
I feel great.,0
I love this!,1
I am very excited.,0
I feel awful.,1
I love this!,0
This is amazing!,1
I feel great.,1
What a disaster.,0
So disappointing.,1
I am very excited.,1
This is terrible.,1
I hate this.,1
I'm so happy.,0
Such a wonderful experience.,1
Full of joy.,1
This is amazing!,1
So disappointing.,1
This is the worst.,1
Full of joy.,0
I'm so happy.,0
I feel awful.,1
This is terrible.,1
Absolutely dreadful.,0
I hate this.,1
I can't stand it.,0
I am very excited.,0
This is terrible.,0
I am very excited.,0
I feel awful.,1
This makes me sad.,0
I hate this.,1
I am very excited.,0
This makes me sad.,1
This is the best thing ever.,1
This is amazing!,0
What a disaster.,0
I'm so happy.,0
This is the best thing ever.,1
What a disaster.,0
Utterly miserable.,1
Absolutely dreadful.,1
I'm so happy.,1
I can't stand it.,0
I am very excited.,0
This is terrible.,0
Such a wonderful experience.,0
I'm so happy.,1
This is amazing!,0
This is the worst.,1
I feel great.,0
I am very excited.,1
Feeling on top of the world.,0
I'm over the moon.,1
I feel awful.,0
This makes me sad.,1
Full of joy.,0
I'm so happy.,1
I love this!,0
This is the best thing ever.,1
I am very excited.,1
This is the worst.,0
I'm so happy.,1
What a disaster.,0
I feel awful.,0
This is the best thing ever.,1
This is the best thing ever.,0
So disappointing.,1
Full of joy.,1
Utterly miserable.,1
This is the worst.,0
Full of joy.,1
I am very excited.,1
I am very excited.,1
I feel great.,0
Absolutely dreadful.,0
This makes me sad.,0
This is amazing!,1
This is the best thing ever.,0
This makes me sad.,1
Feeling on top of the world.,1
What a disaster.,1
I love this!,0
Full of joy.,1
I am very excited.,0
This is terrible.,0
I hate this.,0
I am very excited.,1
Absolutely dreadful.,1
I hate this.,0
This makes me sad.,1
I'm so happy.,1
This is terrible.,0
This is the worst.,0
I feel awful.,1
I feel awful.,0
I feel awful.,0
Utterly miserable.,0
This is the worst.,1
I feel awful.,0
This is amazing!,0
I am very excited.,0
I'm over the moon.,0
This is the worst.,0
This makes me sad.,0
Feeling on top of the world.,0
What a disaster.,0
This is amazing!,0
I feel great.,1
I'm so happy.,0
This is the worst.,1
I hate this.,0
Feeling on top of the world.,1
This is the best thing ever.,1
Utterly miserable.,1
Such a wonderful experience.,1
This is the worst.,1
I hate this.,1
What a disaster.,0
This is the worst.,1
I feel great.,0
Utterly miserable.,0
Full of joy.,1
Full of joy.,0
I feel awful.,1
I'm so happy.,0
I feel awful.,0
This is amazing!,1
I am very excited.,1
I feel great.,1
I am very excited.,1
I'm over the moon.,0
So disappointing.,1
So disappointing.,1
Full of joy.,0
I'm so happy.,1
This is terrible.,1
This makes me sad.,0
This is amazing!,1
Absolutely dreadful.,1
I feel great.,0
I can't stand it.,1
I hate this.,1
I hate this.,0
What a disaster.,1
I'm so happy.,0
I feel awful.,0
Utterly miserable.,0
So disappointing.,0
What a disaster.,1
I am very excited.,0
What a disaster.,0
This is the best thing ever.,1
Utterly miserable.,0
This is terrible.,1
I am very excited.,1
Full of joy.,0
I love this!,1
Full of joy.,1
Feeling on top of the world.,1
Absolutely dreadful.,0
I hate this.,1
I'm over the moon.,0
I'm over the moon.,0
Utterly miserable.,0
I am very excited.,1
This is amazing!,0
So disappointing.,0
I am very excited.,1
I feel awful.,1
Such a wonderful experience.,0
This makes me sad.,0
I'm so happy.,0
Absolutely dreadful.,1
I'm over the moon.,1
Full of joy.,1
I am very excited.,1
Feeling on top of the world.,1
Utterly miserable.,0
I'm so happy.,1
Such a wonderful experience.,0
I can't stand it.,0
So disappointing.,1
I'm so happy.,1
I feel awful.,0
Full of joy.,1
I hate this.,1
I'm over the moon.,0
What a disaster.,0
Feeling on top of the world.,1
Feeling on top of the world.,0
Utterly miserable.,1
Utterly miserable.,1
I feel awful.,1
Full of joy.,1
I feel great.,1
I feel great.,1
Utterly miserable.,1
This is the worst.,0
Such a wonderful experience.,0
I can't stand it.,0
Utterly miserable.,0
Feeling on top of the world.,0
What a disaster.,1
I feel awful.,0
This is terrible.,0
What a disaster.,1
I hate this.,0
This makes me sad.,1
I'm so happy.,0
This is the worst.,0
This is terrible.,0
I love this!,0
So disappointing.,1
I'm so happy.,0
Feeling on top of the world.,1
I feel great.,1
I'm so happy.,0
I am very excited.,0
So disappointing.,0
I'm so happy.,0
Such a wonderful experience.,0
I love this!,1
I love this!,0
I am very excited.,0
I'm over the moon.,0
Such a wonderful experience.,1
Such a wonderful experience.,0
I'm so happy.,0
This is the best thing ever.,0
I can't stand it.,1
This is amazing!,0
Full of joy.,1
This is amazing!,0
This is amazing!,1
So disappointing.,0
Full of joy.,0
I am very excited.,0
I hate this.,1
Feeling on top of the world.,0
I feel awful.,0
I hate this.,0
I'm so happy.,0
I am very excited.,0
I feel awful.,0
Full of joy.,1
This is the worst.,1
Utterly miserable.,0
Full of joy.,1
I feel great.,1
Utterly miserable.,1
This is terrible.,0
I'm so happy.,1
I'm over the moon.,1
Full of joy.,1
Absolutely dreadful.,1
I love this!,1
Full of joy.,1
This is the best thing ever.,1
I can't stand it.,0
This is amazing!,1
I'm so happy.,1
I'm over the moon.,0
This is amazing!,1
Full of joy.,0
This is the worst.,0
This is amazing!,1
Such a wonderful experience.,1
What a disaster.,0
This is terrible.,0
Absolutely dreadful.,1
Full of joy.,1
I love this!,0
Full of joy.,0
This is terrible.,1
I'm so happy.,0
Full of joy.,0
This is terrible.,0
Feeling on top of the world.,0
I'm over the moon.,1
This is the best thing ever.,1
So disappointing.,1
Utterly miserable.,0
I hate this.,1
I hate this.,1
Such a wonderful experience.,1
I hate this.,0
I hate this.,1
Utterly miserable.,1
I feel awful.,0
What a disaster.,0
This is terrible.,1
This is the best thing ever.,0
This is the worst.,1
This makes me sad.,0
This is the worst.,0
What a disaster.,1
Feeling on top of the world.,0
I'm over the moon.,0
I'm over the moon.,1
Absolutely dreadful.,1
I feel great.,1
Full of joy.,1
Such a wonderful experience.,1
I feel great.,1
Absolutely dreadful.,1
I am very excited.,0
So disappointing.,0
What a disaster.,1
I feel awful.,0
This is terrible.,1
This is the worst.,0
I hate this.,0
Absolutely dreadful.,0
I can't stand it.,1
This is amazing!,0
Such a wonderful experience.,1
I'm so happy.,1
This is the best thing ever.,0
Feeling on top of the world.,0
Absolutely dreadful.,0
This makes me sad.,0
Such a wonderful experience.,1
So disappointing.,0
Full of joy.,1
This is the best thing ever.,0
What a disaster.,0
This is the worst.,0
So disappointing.,1
I feel great.,0
Full of joy.,0
I can't stand it.,1
I hate this.,0
This makes me sad.,0
I hate this.,0
I feel great.,1
I'm so happy.,1
I am very excited.,0
This is terrible.,1
This is terrible.,1
Absolutely dreadful.,1
Such a wonderful experience.,1
This is the worst.,1
This is the worst.,0
What a disaster.,0
Absolutely dreadful.,0
This is terrible.,1
I'm over the moon.,1
What a disaster.,0
Full of joy.,1
Feeling on top of the world.,1
Absolutely dreadful.,1
Feeling on top of the world.,1
I can't stand it.,1
I can't stand it.,0
I feel awful.,1
I am very excited.,1
I feel great.,0
I can't stand it.,1
I'm over the moon.,0
I can't stand it.,1
Such a wonderful experience.,0
I feel awful.,0
I feel great.,1
I can't stand it.,1
Such a wonderful experience.,0
I'm over the moon.,0
I am very excited.,1
This is terrible.,0
I feel awful.,1
I love this!,0
Utterly miserable.,0
What a disaster.,0
I feel awful.,1
This makes me sad.,0
This is the worst.,1
I hate this.,0
This makes me sad.,0
I feel awful.,1
This is terrible.,1
This makes me sad.,0
Such a wonderful experience.,0
Utterly miserable.,0
I'm so happy.,0
This is the worst.,0
This is terrible.,0
I feel great.,0
What a disaster.,1
This is terrible.,0
I feel great.,1
Absolutely dreadful.,1
So disappointing.,1
I love this!,0
I'm over the moon.,0
This is the worst.,0
Full of joy.,1
I am very excited.,1
I can't stand it.,0
I feel awful.,0
This is the worst.,0
This is amazing!,1
I am very excited.,0
This is amazing!,0
Full of joy.,1
Such a wonderful experience.,0
I'm so happy.,0
Absolutely dreadful.,0
I hate this.,1
This makes me sad.,0
I hate this.,0
Utterly miserable.,0
I hate this.,1
I feel great.,0
Such a wonderful experience.,1
I love this!,0
I feel great.,1
Feeling on top of the world.,0
This is terrible.,0
I'm over the moon.,1
Such a wonderful experience.,0
I'm so happy.,1
Full of joy.,0
I feel awful.,0
This makes me sad.,0
What a disaster.,0
I can't stand it.,1
Full of joy.,1
This is terrible.,0
Absolutely dreadful.,1
Full of joy.,0
Full of joy.,0
This makes me sad.,1
This makes me sad.,0
This makes me sad.,0
I love this!,0
I'm so happy.,0
Feeling on top of the world.,1
This is the worst.,0
This is terrible.,0
Full of joy.,0
Utterly miserable.,1
Feeling on top of the world.,0
I'm over the moon.,0
I am very excited.,1
This is amazing!,0
Absolutely dreadful.,1
I feel awful.,1
Such a wonderful experience.,1
I'm so happy.,1
This makes me sad.,1
This is the best thing ever.,0
I hate this.,1
Utterly miserable.,1
Absolutely dreadful.,1
I'm so happy.,1
What a disaster.,1
This is the best thing ever.,0
This is terrible.,1
I'm so happy.,0
I feel great.,1
I hate this.,0
I'm over the moon.,0
Utterly miserable.,0
I love this!,0
Feeling on top of the world.,1
This is terrible.,1
Utterly miserable.,0
Feeling on top of the world.,1
This makes me sad.,0
Absolutely dreadful.,1
I'm so happy.,1
I'm so happy.,0
I love this!,0
I'm so happy.,0
So disappointing.,0
I hate this.,1
This is amazing!,0
So disappointing.,1
I hate this.,1
I can't stand it.,1
Absolutely dreadful.,0
This is terrible.,1
I'm so happy.,1
I feel awful.,0
Absolutely dreadful.,1
I love this!,0
I feel great.,1
Utterly miserable.,1
I hate this.,1
This is the worst.,1
This is terrible.,0
I am very excited.,1
I am very excited.,0
I feel awful.,0
So disappointing.,0
Utterly miserable.,0
This is the worst.,1
I am very excited.,1
I feel great.,1
Utterly miserable.,1
Full of joy.,0
This makes me sad.,0
What a disaster.,0
Full of joy.,0
I'm so happy.,0
Feeling on top of the world.,1
What a disaster.,1
I'm so happy.,0
This is the best thing ever.,0
I hate this.,0
I am very excited.,0
I feel awful.,0
I'm so happy.,1
This is terrible.,0
Full of joy.,0
This makes me sad.,0
Absolutely dreadful.,0
I'm over the moon.,0
I am very excited.,0
This makes me sad.,0
This is the best thing ever.,0
This makes me sad.,0
This is amazing!,1
What a disaster.,0
This is the best thing ever.,0
This is the best thing ever.,1
This is the best thing ever.,0
Full of joy.,1
Full of joy.,1
I love this!,0
I feel awful.,1
I am very excited.,0
What a disaster.,0
Utterly miserable.,1
Feeling on top of the world.,1
Feeling on top of the world.,0
So disappointing.,1
So disappointing.,1
So disappointing.,0
I love this!,1
This is the worst.,1
I can't stand it.,0
I'm over the moon.,1
This is terrible.,1
This is the best thing ever.,0
I'm so happy.,1
This is the best thing ever.,1
Full of joy.,1
I feel great.,1
So disappointing.,1
I can't stand it.,1
I hate this.,0
Utterly miserable.,0
I feel awful.,1
So disappointing.,0
What a disaster.,1
This is the worst.,0
So disappointing.,1
This is terrible.,1
This is terrible.,1
Such a wonderful experience.,1
I can't stand it.,1
I'm so happy.,0
I'm over the moon.,0
Feeling on top of the world.,0
I can't stand it.,0
This is the best thing ever.,0
I'm so happy.,0
I am very excited.,1
I hate this.,1
Feeling on top of the world.,1
Utterly miserable.,1
This makes me sad.,1
Full of joy.,1
This is amazing!,1
I'm so happy.,1
Utterly miserable.,0
I'm so happy.,1
I feel great.,0
So disappointing.,0
Such a wonderful experience.,1
So disappointing.,1
This is amazing!,1
What a disaster.,0
This is terrible.,1
I'm over the moon.,0
I'm over the moon.,1
Utterly miserable.,0
I feel great.,0
This is the worst.,1
Absolutely dreadful.,1
Full of joy.,1
Full of joy.,0
This is the worst.,1
I love this!,1
What a disaster.,0
I feel great.,1
Feeling on top of the world.,0
I feel awful.,0
Utterly miserable.,1
I'm so happy.,0
This is amazing!,1
What a disaster.,1
I feel great.,1
This is the best thing ever.,0
I'm so happy.,1
This is terrible.,1
What a disaster.,0
So disappointing.,0
I'm so happy.,1
I hate this.,0
Absolutely dreadful.,0
Such a wonderful experience.,1
This is the best thing ever.,0
Such a wonderful experience.,1
This is amazing!,0
I am very excited.,0
This is the worst.,1
Utterly miserable.,1
This is amazing!,1
This makes me sad.,0
I'm so happy.,1
I hate this.,1
I am very excited.,1
I feel great.,0
I feel great.,0
I love this!,1
I feel awful.,0
I hate this.,0
I can't stand it.,1
This is the best thing ever.,0
I hate this.,1
I love this!,0
Full of joy.,1
This is terrible.,1
I am very excited.,0
What a disaster.,1
I'm over the moon.,1
Feeling on top of the world.,1
This is amazing!,1
What a disaster.,0
Full of joy.,0
I am very excited.,1
I love this!,0
This is the worst.,1
Absolutely dreadful.,1
This is terrible.,1
I can't stand it.,0
I'm over the moon.,1
I can't stand it.,0
So disappointing.,0
I feel great.,0
I can't stand it.,0
I hate this.,1
What a disaster.,0
Full of joy.,1
Full of joy.,0
I'm over the moon.,1
Full of joy.,1
This is amazing!,0
This is the best thing ever.,1
I can't stand it.,0
Feeling on top of the world.,0
This makes me sad.,0
This makes me sad.,0
Feeling on top of the world.,1
I love this!,0
I'm so happy.,0
I am very excited.,0
I'm over the moon.,1
This is the worst.,1
Absolutely dreadful.,0
This is terrible.,1
Feeling on top of the world.,1
I'm over the moon.,1
This is amazing!,0
I'm over the moon.,0
I can't stand it.,1
This is amazing!,0
So disappointing.,1
This is the worst.,0
This makes me sad.,1
I can't stand it.,1
Utterly miserable.,1
Such a wonderful experience.,1
I'm so happy.,1
This is the worst.,1
I am very excited.,1
What a disaster.,1
This makes me sad.,1
This is the worst.,1
Feeling on top of the world.,1
I'm so happy.,1
This is terrible.,1
I feel awful.,0
I hate this.,1
Feeling on top of the world.,1
I feel great.,1
This is amazing!,1
I feel great.,0
This makes me sad.,1
Feeling on top of the world.,0
I'm so happy.,1
I'm over the moon.,0
I am very excited.,1
I feel awful.,1
Such a wonderful experience.,0
This is terrible.,1
This is terrible.,1
Utterly miserable.,0
I'm over the moon.,0
Feeling on top of the world.,1
So disappointing.,0
This makes me sad.,0
Such a wonderful experience.,0
This is amazing!,1
This is the worst.,0
I love this!,1
Such a wonderful experience.,0
This is the worst.,0
Absolutely dreadful.,1
So disappointing.,0
I'm over the moon.,1
So disappointing.,1
So disappointing.,0
So disappointing.,1
Feeling on top of the world.,1
So disappointing.,0
This is the worst.,1
I'm over the moon.,1
I can't stand it.,1
Feeling on top of the world.,1
This makes me sad.,0
This is the best thing ever.,1
I can't stand it.,0
What a disaster.,1
I'm so happy.,0
So disappointing.,0
Utterly miserable.,1
I am very excited.,1
I can't stand it.,0
I love this!,1
I can't stand it.,1
Feeling on top of the world.,0
I can't stand it.,1
Absolutely dreadful.,1
Utterly miserable.,1
This is the best thing ever.,0
I can't stand it.,1
Feeling on top of the world.,0
I feel great.,0
Such a wonderful experience.,1
Such a wonderful experience.,1
So disappointing.,1
I feel great.,0
I feel awful.,1
I can't stand it.,0
This is the best thing ever.,1
I love this!,0
What a disaster.,1
I can't stand it.,1
I love this!,0
Absolutely dreadful.,1
This is terrible.,0
I feel awful.,1
This makes me sad.,0
I feel awful.,0
This is the worst.,1
I feel great.,0
This is terrible.,0
I am very excited.,0
I feel awful.,1
I can't stand it.,0
So disappointing.,1
I love this!,0
So disappointing.,1
I am very excited.,0
This makes me sad.,0
Absolutely dreadful.,1
Full of joy.,1
Such a wonderful experience.,0
I'm so happy.,1
Utterly miserable.,1
I'm so happy.,1
This is amazing!,1
I'm over the moon.,1
Full of joy.,0
I'm over the moon.,0
I love this!,1
Utterly miserable.,0
This is the worst.,1
This is the best thing ever.,0
What a disaster.,0
I can't stand it.,0
This makes me sad.,0
I hate this.,1
This is the worst.,0
This is amazing!,1
I am very excited.,0
I'm over the moon.,1
Absolutely dreadful.,0
This is the best thing ever.,0
Full of joy.,0
This is terrible.,1
I love this!,0
Utterly miserable.,0
This makes me sad.,0
What a disaster.,1
This makes me sad.,1
I love this!,1
So disappointing.,0
This is terrible.,1
So disappointing.,1
What a disaster.,0
Absolutely dreadful.,0
I hate this.,0
I hate this.,0
This is the best thing ever.,0
I feel great.,1
I hate this.,1
This makes me sad.,0
I'm over the moon.,0
This is the best thing ever.,0
I feel great.,0
Utterly miserable.,1
I feel awful.,0
I love this!,0
Full of joy.,1
I feel great.,0
So disappointing.,0
I hate this.,1
I'm so happy.,0
This is the worst.,1
I can't stand it.,0
I feel awful.,1
I feel awful.,1
Absolutely dreadful.,1
I can't stand it.,1
This makes me sad.,0
So disappointing.,1
Full of joy.,1
This is terrible.,1
I'm so happy.,0
I feel awful.,1
This is amazing!,1
Full of joy.,0
I'm over the moon.,0
So disappointing.,1
What a disaster.,1
I'm so happy.,0
I'm so happy.,1
I hate this.,0
Absolutely dreadful.,0
This is the best thing ever.,0
What a disaster.,1
I am very excited.,0
What a disaster.,0
This is terrible.,1
Utterly miserable.,1
This is terrible.,1
Feeling on top of the world.,0
I love this!,0
This makes me sad.,1
Such a wonderful experience.,0
I can't stand it.,1
This is amazing!,0
I feel awful.,1
I can't stand it.,1
Absolutely dreadful.,1
This is the worst.,1
I hate this.,1
This is the best thing ever.,1
What a disaster.,1
I love this!,1
This is the best thing ever.,1
This is the best thing ever.,1
What a disaster.,0
I am very excited.,0
This is terrible.,1
Utterly miserable.,1
What a disaster.,1
I'm so happy.,1
I can't stand it.,1
This is the worst.,1
This is terrible.,1
Utterly miserable.,0
This is the best thing ever.,1
I'm so happy.,1
What a disaster.,0
I'm so happy.,0
I am very excited.,1
I feel great.,0
I'm over the moon.,0
So disappointing.,1
I feel great.,0
I'm over the moon.,1
This is the best thing ever.,0
I feel awful.,1
I feel awful.,0
This is amazing!,1
I hate this.,0
I am very excited.,0
Full of joy.,0
Utterly miserable.,0
I love this!,1
This makes me sad.,1
This is terrible.,1
This is amazing!,1
This is amazing!,1
Absolutely dreadful.,1
Such a wonderful experience.,0
